N,achieved_gflop_s,arithmetic_intensity,byte_model,device,dtype,flops_analytic,hbm_bytes_model,impl,iters,latency_ms_max,latency_ms_median,latency_ms_min,max_abs_err_vs_eager_naive,note,repeats,speedup_max,speedup_median,speedup_min,status,warmup
256,460.339474345569,12.8,"materialised: Q,K,V,O + S,P written and read",cpu,float32,268435456,20971520,naive-eager,5,0.593374999880325,0.5831250000483124,0.5767499997091363,0.0,,5,,,,ok,2
256,375.719015240273,12.8,"materialised: Q,K,V,O + S,P written and read",cpu,float32,268435456,20971520,chunked-eager,5,0.7267080000019632,0.714457999492879,0.7019579998086556,7.152557373046875e-07,,5,,,,ok,2
256,775.4507404231799,64.0,"fused: Q,K,V,O only -- S,P assumed never to reach memory",cpu,float32,268435456,4194304,naive-compiled,5,0.359792000381276,0.34616699940670514,0.34083399987139273,7.152557373046875e-07,,5,,,,ok,2
256,,,,cpu,float32,,,fusion-speedup,,,,,,"naive-eager / naive-compiled, computed per repeat",5,1.7409501402566172,1.69553991009924,1.603009514102446,ok,
512,367.21149150224176,14.222222222222221,"materialised: Q,K,V,O + S,P written and read",cpu,float32,1073741824,75497472,naive-eager,5,2.9852919997210847,2.924041999904148,2.9106669999237056,0.0,,5,,,,ok,2
512,374.67542105928544,14.222222222222221,"materialised: Q,K,V,O + S,P written and read",cpu,float32,1073741824,75497472,chunked-eager,5,2.8932080003869487,2.8657919992838288,2.8366249998725834,6.258487701416016e-07,,5,,,,ok,2
512,908.6354873839604,128.0,"fused: Q,K,V,O only -- S,P assumed never to reach memory",cpu,float32,1073741824,8388608,naive-compiled,5,1.1949160007134196,1.1817079994216328,1.1786249997385312,6.258487701416016e-07,,5,,,,ok,2
512,,,,cpu,float32,,,fusion-speedup,,,,,,"naive-eager / naive-compiled, computed per repeat",5,2.4983279142121524,2.48045482204947,2.464711467406596,ok,
1024,345.3170626361228,15.058823529411764,"materialised: Q,K,V,O + S,P written and read",cpu,float32,4294967296,285212672,naive-eager,5,16.598749999502616,12.437750000572123,11.616583999966679,0.0,,5,,,,ok,2
1024,273.67011533720387,15.058823529411764,"materialised: Q,K,V,O + S,P written and read",cpu,float32,4294967296,285212672,chunked-eager,5,15.900834000603936,15.693958000156272,13.439165999443503,8.642673492431641e-07,,5,,,,ok,2
1024,1020.0308257623735,256.0,"fused: Q,K,V,O only -- S,P assumed never to reach memory",cpu,float32,4294967296,16777216,naive-compiled,5,5.473750000419386,4.210625000268919,3.85408300007839,8.642673492431641e-07,,5,,,,ok,2
1024,,,,cpu,float32,,,fusion-speedup,,,,,,"naive-eager / naive-compiled, computed per repeat",5,3.942110731409828,3.0140980357014637,2.272253939185964,ok,
2048,382.75550737161797,15.515151515151516,"materialised: Q,K,V,O + S,P written and read",cpu,float32,17179869184,1107296256,naive-eager,5,46.27716699997109,44.88470800060895,44.57804199955717,0.0,,5,,,,ok,2
2048,318.9085489702545,15.515151515151516,"materialised: Q,K,V,O + S,P written and read",cpu,float32,17179869184,1107296256,chunked-eager,5,53.97658399942884,53.870833000473795,53.64808400008769,6.556510925292969e-07,,5,,,,ok,2
2048,1183.3936768329277,512.0,"fused: Q,K,V,O only -- S,P assumed never to reach memory",cpu,float32,17179869184,33554432,naive-compiled,5,16.072917000201414,14.517458999762312,14.38662500004284,8.046627044677734e-07,,5,,,,ok,2
2048,,,,cpu,float32,,,fusion-speedup,,,,,,"naive-eager / naive-compiled, computed per repeat",5,3.1851911746540633,3.086204923322178,2.879201516401234,ok,
4096,390.33753835664487,15.753846153846155,"materialised: Q,K,V,O + S,P written and read",cpu,float32,68719476736,4362076160,naive-eager,5,196.3079999995898,176.05141700005333,173.8260829997671,0.0,,5,,,,ok,2
4096,313.4191072117978,15.753846153846155,"materialised: Q,K,V,O + S,P written and read",cpu,float32,68719476736,4362076160,chunked-eager,5,229.91716599972278,219.25745800035656,212.5966250005149,4.917383193969727e-07,,5,,,,ok,2
4096,1141.487160729302,1024.0,"fused: Q,K,V,O only -- S,P assumed never to reach memory",cpu,float32,68719476736,67108864,naive-compiled,5,73.73724999979459,60.201708000022336,57.558958000299754,5.513429641723633e-07,,5,,,,ok,2
4096,,,,cpu,float32,,,fusion-speedup,,,,,,"naive-eager / naive-compiled, computed per repeat",5,3.394051823375414,2.9155727275908006,2.387550620623142,ok,
